description,amount,date,type,category
Tenant rent,1040.99,08/30/2024,income,Rental Income
Technical consulting,1284.17,08/30/2024,income,Consulting
Portfolio returns,1405.51,08/30/2024,income,Investment Returns
Referral bonus,774.94,08/30/2024,income,Commission
Monthly rent payment,1771.39,08/30/2024,expense,Rent
Electricity bill,101.86,08/30/2024,expense,Utilities
Fuel purchase,60.99,08/30/2024,expense,Transportation
Car insurance,226.49,08/30/2024,expense,Insurance
Online course,903.42,08/30/2024,expense,Education
Supermarket purchase,287.64,08/31/2024,expense,Groceries
Food delivery,72.82,08/31/2024,expense,Dining Out
Food supplies,305.79,09/07/2024,expense,Groceries
Movie tickets,94.91,09/07/2024,expense,Entertainment
Food delivery,48.51,09/07/2024,expense,Dining Out
Project revenue,597.9,09/09/2024,income,Side Business
Home goods,184.25,09/09/2024,expense,Shopping
Consulting hours,1341.63,09/14/2024,income,Freelancing
Grocery shopping,250.22,09/14/2024,expense,Groceries
Fuel purchase,63.84,09/14/2024,expense,Transportation
Restaurant meal,33.09,09/14/2024,expense,Dining Out
Food supplies,327.42,09/21/2024,expense,Groceries
Streaming service,116.28,09/21/2024,expense,Entertainment
Food delivery,30.68,09/21/2024,expense,Dining Out
Supermarket purchase,380.79,09/28/2024,expense,Groceries
Restaurant meal,70.78,09/28/2024,expense,Dining Out
Monthly salary payment,4083.66,09/29/2024,income,Salary
Design work,1818.06,09/29/2024,income,Freelancing
Bond interest,36.68,09/29/2024,income,Interest
Tenant rent,1442.07,09/29/2024,income,Rental Income
Online sales,774.53,09/29/2024,income,Side Business
Sales commission,1337.53,09/29/2024,income,Commission
Apartment rent,467.787,09/29/2024,expense,Rent
Water bill,256.48,09/29/2024,expense,Utilities
Uber ride,90.02,09/29/2024,expense,Transportation
Doctor visit,506.04,09/29/2024,expense,Healthcare
Electronics,179.83,09/29/2024,expense,Shopping
Car insurance,261.04,09/29/2024,expense,Insurance
Supermarket purchase,244.58,10/05/2024,expense,Groceries
Concert tickets,99.24,10/05/2024,expense,Entertainment
Food delivery,54.58,10/05/2024,expense,Dining Out
Grocery shopping,396.23,10/12/2024,expense,Groceries
Restaurant meal,38.07,10/12/2024,expense,Dining Out
Web development project,1245.06,10/14/2024,income,Freelancing
Advisory fees,662.6,10/14/2024,income,Consulting
Uber ride,167.96,10/14/2024,expense,Transportation
Tutorial income,446.68,10/19/2024,income,Side Business
Food supplies,208.88,10/19/2024,expense,Groceries
Streaming service,188.84,10/19/2024,expense,Entertainment
Restaurant meal,95.82,10/19/2024,expense,Dining Out
Home goods,245.69,10/19/2024,expense,Shopping
Food supplies,384.15,10/26/2024,expense,Groceries
Coffee shop,89.36,10/26/2024,expense,Dining Out
Salary deposit,5014.25,10/29/2024,income,Salary
Design work,924.32,10/29/2024,income,Freelancing
CD interest payment,17.67,10/29/2024,income,Interest
Tenant rent,1338.66,10/29/2024,income,Rental Income
Sales commission,982.93,10/29/2024,income,Commission
Housing payment,1848.06,10/29/2024,expense,Rent
Gas bill,221.33,10/29/2024,expense,Utilities
Train ticket,116.32,10/29/2024,expense,Transportation
Life insurance,358.75,10/29/2024,expense,Insurance
Food supplies,233.94,11/02/2024,expense,Groceries
Movie tickets,149.58,11/02/2024,expense,Entertainment
Food delivery,87.29,11/02/2024,expense,Dining Out
Online sales,379.38,11/08/2024,income,Side Business
Electronics,109.77,11/08/2024,expense,Shopping
Supermarket purchase,322.25,11/09/2024,expense,Groceries
Restaurant meal,59.01,11/09/2024,expense,Dining Out
Consulting hours,1493.02,11/13/2024,income,Freelancing
Uber ride,86.6,11/13/2024,expense,Transportation
Grocery shopping,378.53,11/16/2024,expense,Groceries
Streaming service,166.76,11/16/2024,expense,Entertainment
Restaurant meal,66.26,11/16/2024,expense,Dining Out
Grocery shopping,383.49,11/23/2024,expense,Groceries
Food delivery,86.1,11/23/2024,expense,Dining Out
Salary deposit,5190.9,11/28/2024,income,Salary
Consulting hours,1302.77,11/28/2024,income,Freelancing
Stock dividends,432.23,11/28/2024,income,Dividends
CD interest payment,39.75,11/28/2024,income,Interest
Property income,1375.89,11/28/2024,income,Rental Income
Advisory fees,1648.72,11/28/2024,income,Consulting
Quarterly bonus,1956.98,11/28/2024,income,Bonus
Tutorial income,357.16,11/28/2024,income,Side Business
Investment gains,1807.45,11/28/2024,income,Investment Returns
Performance commission,577.51,11/28/2024,income,Commission
Apartment rent,1893.02,11/28/2024,expense,Rent
Water bill,208.52,11/28/2024,expense,Utilities
Uber ride,174.93,11/28/2024,expense,Transportation
Prescription medication,442.69,11/28/2024,expense,Healthcare
Electronics,290.79,11/28/2024,expense,Shopping
Home insurance,350.7,11/28/2024,expense,Insurance
Training program,630.58,11/28/2024,expense,Education
Supermarket purchase,379.56,11/30/2024,expense,Groceries
Streaming service,230.76,11/30/2024,expense,Entertainment
Restaurant meal,77.54,11/30/2024,expense,Dining Out
Food supplies,368.1,12/07/2024,expense,Groceries
Food delivery,67.39,12/07/2024,expense,Dining Out
Consulting hours,607.955,12/13/2024,income,Freelancing
Uber ride,70.35,12/13/2024,expense,Transportation
Supermarket purchase,252.03,12/14/2024,expense,Groceries
Concert tickets,99.03,12/14/2024,expense,Entertainment
Coffee shop,49.48,12/14/2024,expense,Dining Out
Online sales,327.04,12/18/2024,income,Side Business
Electronics,399.61,12/18/2024,expense,Shopping
Food supplies,244.84,12/21/2024,expense,Groceries
Restaurant meal,49.230000000000004,12/21/2024,expense,Dining Out
Monthly salary payment,5678.46,12/28/2024,income,Salary
Design work,427.2,12/28/2024,income,Freelancing
CD interest payment,28.6,12/28/2024,income,Interest
Tenant rent,1083.89,12/28/2024,income,Rental Income
Sales commission,1162.03,12/28/2024,income,Commission
Monthly rent payment,1517.64,12/28/2024,expense,Rent
Supermarket purchase,385.78,12/28/2024,expense,Groceries
Electricity bill,179.33,12/28/2024,expense,Utilities
Bus pass,138.81,12/28/2024,expense,Transportation
Streaming service,65.29,12/28/2024,expense,Entertainment
Food delivery,72.03,12/28/2024,expense,Dining Out
Home insurance,356.53,12/28/2024,expense,Insurance
Food supplies,332.3,01/04/2025,expense,Groceries
Coffee shop,53.89,01/04/2025,expense,Dining Out
Project revenue,194.98,01/07/2025,income,Side Business
Clothing purchase,456.63,01/07/2025,expense,Shopping
Food supplies,287.1,01/11/2025,expense,Groceries
Streaming service,90.51,01/11/2025,expense,Entertainment
Food delivery,84.22,01/11/2025,expense,Dining Out
Design work,1266.45,01/12/2025,income,Freelancing
Business consulting,1746.1,01/12/2025,income,Consulting
Train ticket,86.58,01/12/2025,expense,Transportation
Supermarket purchase,267.28,01/18/2025,expense,Groceries
Coffee shop,42.73,01/18/2025,expense,Dining Out
Food supplies,268.07,01/25/2025,expense,Groceries
Streaming service,182.02,01/25/2025,expense,Entertainment
Food delivery,96.36,01/25/2025,expense,Dining Out
Monthly salary payment,4812.86,01/27/2025,income,Salary
Consulting hours,1443.1,01/27/2025,income,Freelancing
Savings interest,55.86,01/27/2025,income,Interest
Tenant rent,1202.2,01/27/2025,income,Rental Income
Project revenue,623.4,01/27/2025,income,Side Business
Performance commission,712.51,01/27/2025,income,Commission
Apartment rent,1834.6,01/27/2025,expense,Rent
Water bill,161.32,01/27/2025,expense,Utilities
Bus pass,97.33,01/27/2025,expense,Transportation
Prescription medication,176.62,01/27/2025,expense,Healthcare
Home goods,389.83,01/27/2025,expense,Shopping
Car insurance,319.36,01/27/2025,expense,Insurance
Supermarket purchase,259.25,02/01/2025,expense,Groceries
Coffee shop,30.99,02/01/2025,expense,Dining Out
Supermarket purchase,209.1,02/08/2025,expense,Groceries
Concert tickets,154.61,02/08/2025,expense,Entertainment
Coffee shop,74.36,02/08/2025,expense,Dining Out
Web development project,1061.69,02/11/2025,income,Freelancing
Uber ride,87.87,02/11/2025,expense,Transportation
Grocery shopping,364.42,02/15/2025,expense,Groceries
Restaurant meal,70.39,02/15/2025,expense,Dining Out
Tutorial income,234.28,02/16/2025,income,Side Business
Home goods,134.07,02/16/2025,expense,Shopping
Food supplies,352.89,02/22/2025,expense,Groceries
Concert tickets,83.85,02/22/2025,expense,Entertainment
Food delivery,93.6,02/22/2025,expense,Dining Out
Regular salary,5980.06,02/26/2025,income,Salary
Web development project,308.41,02/26/2025,income,Freelancing
Stock dividends,479.04,02/26/2025,income,Dividends
Savings interest,20.59,02/26/2025,income,Interest
Rental payment,1086.91,02/26/2025,income,Rental Income
Business consulting,1112.78,02/26/2025,income,Consulting
Trading profits,724.27,02/26/2025,income,Investment Returns
Sales commission,639.26,02/26/2025,income,Commission
Housing payment,1656.31,02/26/2025,expense,Rent
Water bill,217.96,02/26/2025,expense,Utilities
Bus pass,113.77,02/26/2025,expense,Transportation
Car insurance,381.68,02/26/2025,expense,Insurance
Training program,247.71,02/26/2025,expense,Education
Supermarket purchase,349.79,03/01/2025,expense,Groceries
Coffee shop,60.74,03/01/2025,expense,Dining Out
Project revenue,729.76,03/08/2025,income,Side Business
Food supplies,308.0,03/08/2025,expense,Groceries
Concert tickets,55.98,03/08/2025,expense,Entertainment
Food delivery,108.39000000000001,03/08/2025,expense,Dining Out
Clothing purchase,434.38,03/08/2025,expense,Shopping
Content writing,1999.23,03/13/2025,income,Freelancing
Bus pass,136.44,03/13/2025,expense,Transportation
Supermarket purchase,294.1,03/15/2025,expense,Groceries
Food delivery,42.7,03/15/2025,expense,Dining Out
Supermarket purchase,362.85,03/22/2025,expense,Groceries
Streaming service,102.19,03/22/2025,expense,Entertainment
Coffee shop,37.32,03/22/2025,expense,Dining Out
Salary deposit,5387.35,03/28/2025,income,Salary
Consulting hours,1664.42,03/28/2025,income,Freelancing
Savings interest,13.52,03/28/2025,income,Interest
Tenant rent,1485.09,03/28/2025,income,Rental Income
Tutorial income,421.215,03/28/2025,income,Side Business
Referral bonus,795.9,03/28/2025,income,Commission
Apartment rent,1688.68,03/28/2025,expense,Rent
Water bill,252.0,03/28/2025,expense,Utilities
Train ticket,189.15,03/28/2025,expense,Transportation
Health insurance,148.57,03/28/2025,expense,Healthcare
Electronics,419.73,03/28/2025,expense,Shopping
Car insurance,310.17,03/28/2025,expense,Insurance
Grocery shopping,244.94,03/29/2025,expense,Groceries
Restaurant meal,62.3,03/29/2025,expense,Dining Out
Food supplies,299.68,04/05/2025,expense,Groceries
Concert tickets,155.81,04/05/2025,expense,Entertainment
Food delivery,98.62,04/05/2025,expense,Dining Out
Design work,460.36,04/12/2025,income,Freelancing
Business consulting,1796.04,04/12/2025,income,Consulting
Supermarket purchase,267.98,04/12/2025,expense,Groceries
Fuel purchase,173.08,04/12/2025,expense,Transportation
Food delivery,88.62,04/12/2025,expense,Dining Out
Project revenue,540.68,04/17/2025,income,Side Business
Home goods,293.74,04/17/2025,expense,Shopping
Grocery shopping,275.44,04/19/2025,expense,Groceries
Concert tickets,197.12,04/19/2025,expense,Entertainment
Restaurant meal,46.35,04/19/2025,expense,Dining Out
Supermarket purchase,263.64,04/26/2025,expense,Groceries
Food delivery,57.03,04/26/2025,expense,Dining Out
Monthly salary payment,5961.64,04/27/2025,income,Salary
Content writing,427.24,04/27/2025,income,Freelancing
CD interest payment,44.79,04/27/2025,income,Interest
Rental payment,1049.86,04/27/2025,income,Rental Income
Performance commission,1166.93,04/27/2025,income,Commission
Apartment rent,1515.02,04/27/2025,expense,Rent
Electricity bill,167.71,04/27/2025,expense,Utilities
Train ticket,177.76,04/27/2025,expense,Transportation
Home insurance,390.83,04/27/2025,expense,Insurance
Grocery shopping,561.72,05/03/2025,expense,Groceries
Movie tickets,144.67,05/03/2025,expense,Entertainment
Restaurant meal,82.27,05/03/2025,expense,Dining Out
Online sales,784.33,05/07/2025,income,Side Business
Clothing purchase,277.47,05/07/2025,expense,Shopping
Supermarket purchase,209.2,05/10/2025,expense,Groceries
Restaurant meal,55.09,05/10/2025,expense,Dining Out
Design work,1156.1,05/12/2025,income,Freelancing
Train ticket,75.5,05/12/2025,expense,Transportation
Food supplies,323.94,05/17/2025,expense,Groceries
Concert tickets,71.47,05/17/2025,expense,Entertainment
Coffee shop,62.17,05/17/2025,expense,Dining Out
Grocery shopping,380.24,05/24/2025,expense,Groceries
Food delivery,35.17,05/24/2025,expense,Dining Out
Regular salary,4598.31,05/27/2025,income,Salary
Design work,650.18,05/27/2025,income,Freelancing
Stock dividends,499.75,05/27/2025,income,Dividends
Bond interest,19.49,05/27/2025,income,Interest
Rental payment,1147.94,05/27/2025,income,Rental Income
Business consulting,1966.92,05/27/2025,income,Consulting
Quarterly bonus,1032.39,05/27/2025,income,Bonus
Project revenue,976.24,05/27/2025,income,Side Business
Portfolio returns,1094.11,05/27/2025,income,Investment Returns
Referral bonus,1230.89,05/27/2025,income,Commission
Apartment rent,1890.5,05/27/2025,expense,Rent
Water bill,235.55,05/27/2025,expense,Utilities
Uber ride,144.24,05/27/2025,expense,Transportation
Health insurance,223.57,05/27/2025,expense,Healthcare
Electronics,245.94,05/27/2025,expense,Shopping
Car insurance,265.34,05/27/2025,expense,Insurance
Textbooks,305.73,05/27/2025,expense,Education
Grocery shopping,306.17,05/31/2025,expense,Groceries
Concert tickets,88.55,05/31/2025,expense,Entertainment
Coffee shop,97.72,05/31/2025,expense,Dining Out
